iter	Passed	Remaining
826	3644	762
827	3645	757
828	3648	752
829	3650	747
830	3652	742
831	3654	737
832	3656	732
833	3657	728
834	3659	723
835	3661	718
836	3663	713
837	3665	708
838	3668	703
839	3670	699
840	3672	694
841	3674	689
842	3675	684
843	3678	679
844	3680	675
845	3682	670
846	3683	665
847	3685	660
848	3687	655
849	3689	651
850	3690	646
851	3692	641
852	3694	636
853	3696	631
854	3697	627
855	3699	622
856	3701	617
857	3703	612
858	3705	608
859	3707	603
860	3710	599
861	3712	594
862	3713	589
863	3715	584
864	3717	580
865	3719	575
866	3721	570
867	3722	566
868	3724	561
869	3726	556
870	3727	552
871	3729	547
872	3731	542
873	3732	538
874	3734	533
875	3736	528
876	3738	524
877	3739	519
878	3741	515
879	3743	510
880	3745	505
881	3746	501
882	3748	496
883	3749	492
884	3751	487
885	3753	482
886	3754	478
887	3756	473
888	3758	469
889	3759	464
890	3761	460
891	3763	455
892	3765	451
893	3766	446
894	3768	442
895	3770	437
896	3771	433
897	3773	428
898	3775	424
899	3777	419
900	3778	415
901	3780	410
902	3782	406
903	3784	401
904	3785	397
905	3787	392
906	3788	388
907	3790	384
908	3792	379
909	3794	375
910	3796	370
911	3798	366
912	3800	362
913	3801	357
914	3803	353
915	3805	348
916	3807	344
917	3808	340
918	3810	335
919	3812	331
920	3814	327
921	3815	322
922	3817	318
923	3819	314
924	3821	309
925	3822	305
926	3825	301
927	3827	296
928	3830	292
929	3832	288
930	3833	284
931	3835	279
932	3837	275
933	3839	271
934	3841	267
935	3843	262
936	3844	258
937	3846	254
938	3848	250
939	3850	245
940	3852	241
941	3854	237
942	3856	233
943	3858	228
944	3859	224
945	3861	220
946	3863	216
947	3865	212
948	3866	207
949	3868	203
950	3870	199
951	3872	195
952	3874	191
953	3876	186
954	3877	182
955	3879	178
956	3881	174
957	3882	170
958	3884	166
959	3886	161
960	3888	157
961	3890	153
962	3891	149
963	3893	145
964	3895	141
965	3896	137
966	3898	133
967	3900	128
968	3902	124
969	3904	120
970	3905	116
971	3907	112
972	3909	108
973	3910	104
974	3912	100
975	3914	96
976	3916	92
977	3918	88
978	3919	84
979	3921	80
980	3923	75
981	3925	71
982	3926	67
983	3928	63
984	3930	59
985	3931	55
986	3933	51
987	3935	47
988	3936	43
989	3938	39
990	3940	35
991	3941	31
992	3943	27
993	3945	23
994	3946	19
995	3948	15
996	3950	11
997	3951	7
998	3953	3
999	3955	0
